(CET) 25/03/2023 23:23:37 | no guild | --------------------------------------- NEW / REBOOTED ----------------------------------------
(CET) 25/03/2023 23:23:37 | no guild | Loaded radio.json
(CET) 25/03/2023 23:23:37 | no guild | Loaded languages.json
(CET) 25/03/2023 23:23:37 | no guild | Loaded other.json
(CET) 25/03/2023 23:23:37 | no guild | Bot class initialized
(CET) 25/03/2023 23:23:37 | no guild | Loaded guilds.json
(CET) 25/03/2023 23:23:37 | no guild | Loaded sound_effects folder
(CET) 25/03/2023 23:23:41 | no guild | Trying to sync commands
(CET) 25/03/2023 23:23:41 | no guild | Synced slash commands for Testing Bot#3465
(CET) 25/03/2023 23:23:41 | no guild | Logged in as:
Testing Bot
1009574748302356581
(CET) 25/03/2023 23:23:50 | no guild | --------------------------------------- NEW / REBOOTED ----------------------------------------
(CET) 25/03/2023 23:23:50 | no guild | Loaded radio.json
(CET) 25/03/2023 23:23:50 | no guild | Loaded languages.json
(CET) 25/03/2023 23:23:50 | no guild | Loaded other.json
(CET) 25/03/2023 23:23:50 | no guild | Bot class initialized
(CET) 25/03/2023 23:23:50 | no guild | Loaded guilds.json
(CET) 25/03/2023 23:23:50 | no guild | Loaded sound_effects folder
(CET) 25/03/2023 23:23:53 | no guild | Trying to sync commands
(CET) 25/03/2023 23:24:31 | 1008145667622969397 | Command (zz_log) was requested by (Tomer27cz#4272) -- (options: ['activity.log'])
(CET) 25/03/2023 23:24:31 | all | Updated guilds.json
(CET) 25/03/2023 23:24:41 | no guild | Synced slash commands for Testing Bot#3465
(CET) 25/03/2023 23:24:41 | no guild | Logged in as:
Testing Bot
1009574748302356581
(CET) 25/03/2023 23:27:19 | no guild | --------------------------------------- NEW / REBOOTED ----------------------------------------
(CET) 25/03/2023 23:27:19 | no guild | Loaded radio.json
(CET) 25/03/2023 23:27:19 | no guild | Loaded languages.json
(CET) 25/03/2023 23:27:19 | no guild | Loaded other.json
(CET) 25/03/2023 23:27:19 | no guild | Bot class initialized
(CET) 25/03/2023 23:27:19 | no guild | Loaded guilds.json
(CET) 25/03/2023 23:27:19 | no guild | Loaded sound_effects folder
(CET) 25/03/2023 23:27:22 | no guild | Trying to sync commands
(CET) 25/03/2023 23:27:23 | no guild | Synced slash commands for Testing Bot#3465
(CET) 25/03/2023 23:27:23 | no guild | Logged in as:
Testing Bot
1009574748302356581
(CET) 25/03/2023 23:27:36 | 1008145667622969397 | Command (zz_log) was requested by (Tomer27cz#4272) -- (options: ['log.txt'])
(CET) 25/03/2023 23:27:36 | all | Updated guilds.json
(CET) 25/03/2023 23:51:41 | 1008145667622969397 | Command (volume) was requested by (Tomer27cz#4272) -- (options: ['50', False, False])
(CET) 25/03/2023 23:51:42 | all | Updated guilds.json
(CET) 25/03/2023 23:51:51 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['https://www.youtube.com/watch?v=M-mtdN6R3bQ'])
(CET) 25/03/2023 23:51:51 | 1008145667622969397 | Command (join) was requested by (Tomer27cz#4272) -- (options: [None])
(CET) 25/03/2023 23:51:52 | 1008145667622969397 | Command (queue) was requested by (Tomer27cz#4272) -- (options: ['https://www.youtube.com/watch?v=M-mtdN6R3bQ', None, True])
(CET) 25/03/2023 23:51:52 | all | Updated guilds.json
(CET) 25/03/2023 23:51:55 | 1008145667622969397 | Command (volume) was requested by (Tomer27cz#4272) -- (options: [50.0, False, True])
(CET) 25/03/2023 23:51:55 | all | Updated guilds.json
(CET) 25/03/2023 23:51:55 | all | Updated guilds.json
(CET) 25/03/2023 23:52:00 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['https://www.youtube.com/watch?v=M-mtdN6R3bQ'])
(CET) 25/03/2023 23:52:00 | 1008145667622969397 | Command (queue) was requested by (Tomer27cz#4272) -- (options: ['https://www.youtube.com/watch?v=M-mtdN6R3bQ', None, True])
(CET) 25/03/2023 23:52:01 | all | Updated guilds.json
(CET) 25/03/2023 23:52:03 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['https://www.youtube.com/watch?v=M-mtdN6R3bQ'])
(CET) 25/03/2023 23:52:03 | 1008145667622969397 | Command (queue) was requested by (Tomer27cz#4272) -- (options: ['https://www.youtube.com/watch?v=M-mtdN6R3bQ', None, True])
(CET) 25/03/2023 23:52:03 | all | Updated guilds.json
(CET) 25/03/2023 23:52:08 | 1008145667622969397 | Command (skip) was requested by (Tomer27cz#4272) -- (options: None)
(CET) 25/03/2023 23:52:08 | 1008145667622969397 | Command (stop) was requested by (Tomer27cz#4272) -- (options: [True])
(CET) 25/03/2023 23:52:08 | all | Updated guilds.json
(CET) 25/03/2023 23:52:08 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['next'])
(CET) 25/03/2023 23:52:08 | 1008145667622969397 | stopped
(CET) 25/03/2023 23:52:09 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: [None])
(CET) 25/03/2023 23:52:11 | 1008145667622969397 | Command (volume) was requested by (Tomer27cz#4272) -- (options: [50.0, False, True])
(CET) 25/03/2023 23:52:11 | all | Updated guilds.json
(CET) 25/03/2023 23:52:11 | all | Updated guilds.json
(CET) 25/03/2023 23:52:14 | 1008145667622969397 | Command (skip) was requested by (Tomer27cz#4272) -- (options: None)
(CET) 25/03/2023 23:52:14 | 1008145667622969397 | Command (stop) was requested by (Tomer27cz#4272) -- (options: [True])
(CET) 25/03/2023 23:52:14 | all | Updated guilds.json
(CET) 25/03/2023 23:52:14 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: ['next'])
(CET) 25/03/2023 23:52:14 | 1008145667622969397 | stopped
(CET) 25/03/2023 23:52:15 | 1008145667622969397 | Command (play) was requested by (Tomer27cz#4272) -- (options: [None])
(CET) 25/03/2023 23:52:17 | 1008145667622969397 | Command (volume) was requested by (Tomer27cz#4272) -- (options: [50.0, False, True])
(CET) 25/03/2023 23:52:17 | all | Updated guilds.json
(CET) 25/03/2023 23:52:17 | all | Updated guilds.json
